sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;linea_de_credito
Femenino;comercio;VARIEDADES;belen;3;16.0;16/09/2016;6890000;microempresarial
Masculino;comercio;tienda;las brisas;3;5.0;15/01/2018;6000000;microempresarial
Femenino;comercio;peluqueria;castilla;3;5.0;11/08/2017;2500000;microempresarial
Masculino;industria;fabrica de alimentos;san javier no.1;2;13.0;27/10/2016;$ 6,800,000.00;microempresarial
Femenino;comercio;almacen de ropa en ;cabecera san antonio ;2;80.0;22/09/2016;4000000;Microempresarial
Masculino;industria;variedades;cabecera san antonio ;2;80.0;24/07/2017;5000000;credioportuno
Masculino;industria;fabrica de ;guayabal;2;15.0;2/03/2016;4000000;microempresarial
Masculino;INDUSTRIA;fabrica de ;belen;2;16.0;24/05/2016;6500000;microempresarial
Femenino;comercio;comidas rapidas;santander;2;6.0;27/07/2018;1200000;microempresarial
Femenino;comercio;almacen de ropa en ;prado;3;10.0;20/11/2017;7000000;microempresarial
Femenino;comercio;comidas rapidas;santa cruz;2;2.0;22/03/2018;1500000;microempresarial
Masculino;industria;fabrica de traperos;ARANJUEZ;3;4.0;24/02/2016;$ 2,000,000.00;microempresarial
Femenino;comercio;variedades;castilla;3;5.0;15/02/2017;4000000;microempresarial
Masculino;industria;fabrica de alimentos;san javier no.2;3;13.0;29/02/2016;$ 6,890,000.00;microempresarial
Masculino;industria;fabrica de ;san javier no.1;1;13.0;15/08/2017;6000000;MICROEMPRESARIAL
Masculino;servicio;variedades;pedregal;3;6.0;24/04/2017;7000000;microempresarial
Masculino;comercio;panaderia;cabecera san antonio ;2;80.0;27/04/2017;3000000;microempresarial
Masculino;servicio;mantenimiento en ;la milagrosa;2;9.0;16/05/2018;7000000;microempresarial
Masculino;comercio;variedades;la floresta;3;12.0;16/08/2016;6000000;microempresarial
Femenino;comercio;fabrica de ;san javier no.1;1;13.0;5/10/2017;7300000;microempresarial
Masculino;comercio;tienda;cabecera san antonio ;3;80.0;21/05/2018;5500000;microempresarial
Femenino;comercio;tienda de helados;robledo;3;7.0;23/05/2018;7800000;microempresarial
Femenino;comercio;variedades;tricentenario;3;5.0;27/04/2017;7000000;Microempresarial
Femenino;comercio;miscelanea;villa hermosa;3;8.0;19/12/2016;6890000;microempresarial
Masculino;servicio;mantenimiento en ;andalucia;1;2.0;22/01/2016;6890000;microempresarial
Femenino;comercio;tienda;bombona no.1;3;10.0;5/10/2016;4000000;microempresarial
Masculino;industria;fabrica de ;santa cruz;2;2.0;30/09/2016;6890000;microempresarial
Femenino;comercio;almacen de ropa en ;manrique oriental;2;3.0;8/02/2017;1200000;microempresarial
Femenino;comercio;fabrica de ;villa liliam;1;13.0;6/02/2019;7800000;microempresarial
Masculino;comercio;tienda;kennedy;2;6.0;27/09/2018;5000000;microempresarial
Femenino;comercio;variedades;robledo;2;7.0;28/10/2016;$ 6,000,000.00;microempresarial
Femenino;comercio;tienda;santa cruz;2;2.0;4/04/2016;4000000;microempresarial
Femenino;comercio;variedades;popular;2;1.0;29/02/2016;6500000;microempresarial
Masculino;comercio;comidas rapidas;doce de octubre no. 1;2;6.0;21/05/2018;5000000;microempresarial
Masculino;servicio;bares;san javier no.1;2;13.0;16/07/2018;5000000;microempresarial
Masculino;industria;fabrica de ;buenos aires;3;9.0;6/03/2018;7800000;Microempresarial
Femenino;comercio;peluqueria;pedregal;3;6.0;18/04/2017;7000000;microempresarial
Femenino;comercio;almacen de ropa en ;robledo;2;7.0;3/07/2018;4000000;microempresarial
Femenino;comercio;Tienda;robledo;2;7.0;5/09/2018;5000000;microempresarial
Femenino;comercio;peluqueria;robledo;2;7.0;3/05/2018;6000000;microempresarial
Femenino;agropecuaria;criadero de animales ;la floresta;2;12.0;14/06/2016;6890000;microempresarial
Masculino;comercio;almacen de ropa en ;popular;1;1.0;18/10/2018;7800000;microempresarial
Masculino;comercio;tienda;la milagrosa;3;9.0;20/02/2018;5000000;microempresarial
Femenino;comercio;restaurante;enciso;3;8.0;9/03/2017;7000000;microempresarial
Femenino;servicio;organizacion y ;pedregal;3;6.0;12/10/2017;$ 7,377,000.00;microempresarial
Femenino;industria;fabrica de ;el salvador;2;9.0;6/06/2017;7377000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;2;4.0;27/04/2018;3000000;microempresarial
Masculino;servicio;RESTAURANTE;belen;3;16.0;3/04/2017;7350000;microempresarial
Femenino;comercio;variedades;buenos aires;3;9.0;20/06/2017;1000000;microempresarial
Masculino;comercio;tienda;ARANJUEZ;1;4.0;4/09/2017;3000000;microempresarial
Femenino;servicio;peluqueria;el salvador;2;60.0;19/09/2017;3000000;MICROEMPRESARIAL
Femenino;industria;fabrica de ;la esperanza;1;6.0;12/04/2018;3000000;microempresarial
Femenino;comercio;panaderia;playon de los ;2;2.0;22/11/2016;6000000;Microempresarial
Femenino;comercio;almacen de ropa en ;santa cruz;2;2.0;21/02/2017;6000000;microempresarial
Masculino;comercio;tienda;robledo;1;7.0;18/12/2017;5000000;microempresarial
Femenino;comercio;comidas rapidas;robledo;3;7.0;29/01/2018;7800000;microempresarial
Femenino;industria;fabrica de ;barrio caicedo;2;9.0;16/03/2017;5000000;microempresarial
Masculino;Servicio;variedades;santo domingo savio ;1;1.0;28/02/2018;7000000;microempresarial
Femenino;comercio;variedades;aranjuez;2;4.0;25/08/2016;3000000;microempresarial
Masculino;servicio;comidas rapidas;robledo;2;7.0;29/03/2017;7377000;microempresarial
Femenino;comercio;tienda;popular;2;1.0;29/06/2017;7300000;microempresarial
Femenino;comercio;almacen de ropa en ;robledo;2;7.0;9/03/2017;$ 6,000,000.00;microempresarial
Masculino;comercio;tienda;el salvador;3;9.0;12/04/2016;1000000;microempresarial
Femenino;comercio;miscelanea;centro admtivo;1;10.0;15/02/2018;5000000;microempresarial
Femenino;comercio;variedades;doce de octubre no. 1;2;6.0;2/03/2017;3000000;microempresarial
Masculino;comercio;fabrica de ;centro admtivo;2;10.0;24/01/2018;$ 4,500,000.00;Microempresarial
Femenino;comercio;fabrica de alimentos;campo valdes no. 2;1;3.0;24/11/2017;3000000;microempresarial
Masculino;comercio;variedades;campo valdes no. 1;3;4.0;6/06/2018;4000000;microempresarial
Femenino;servicio;fabrica de arepas;villa hermosa;3;8.0;24/08/2016;1050000;microempresarial
Femenino;industria;carpinteria;belen;3;16.0;30/01/2018;7800000;microempresarial
Femenino;Comercio;variedades;Calasanz;3;12.0;16/05/2018;3000000;microempresarial
Femenino;servicio;variedades;las palmas;2;10.0;22/12/2017;$ 4,400,000.00;microempresarial
Masculino;comercio;tienda;girardot;3;5.0;16/05/2019;8200000;microempresarial
Masculino;servicio;drogueria;cabecera san cristobal;2;60.0;12/07/2018;7800000;microempresarial
Femenino;industria;fabrica de ;moravia;2;4.0;1/06/2018;7800000;microempresarial
Femenino;comercio;tienda;enciso;2;8.0;18/04/2017;$ 7,000,000.00;microempresarial
Femenino;comercio;almacen de ropa en ;cabecera san antonio ;2;80.0;9/02/2017;7377000;microempresarial
Femenino;comercio;tienda de helados;san javier no.1;2;13.0;27/09/2017;30000000;empresarial ed. 
Femenino;comercio;almacen de ropa en ;antonio narino;2;13.0;16/08/2016;6890000;microempresarial
Masculino;comercio;productos de mar;santa cruz;2;2.0;7/06/2018;2500000;microempresarial
Femenino;agropecuaria;criadero de animales ;cabecera san antonio ;2;80.0;5/12/2017;7300000;microempresarial
Masculino;servicio;cafe e internet;moravia;3;4.0;13/02/2018;3000000;microempresarial
Femenino;industria;fabrica de ;popular;2;1.0;24/08/2018;7800000;microempresarial
Masculino;industria;ebanistaria;manrique oriental;2;3.0;6/12/2016;6500000;microempresarial
Femenino;comercio;variedades;las palmas;2;8.0;22/05/2018;$ 4,400,000.00;microempresarial
Masculino;agropecuaria;sembrados;santa elena central;2;90.0;26/07/2017;10000000;agropecuaria
Femenino;comercio;variedades;aranjuez;3;4.0;2/02/2018;36;microempresarial
Masculino;industria;fabrica de calzado;el socorro;2;13.0;12/12/2017;7370000;microempresarial
Masculino;industria;fabrica de ;doce de octubre no. 1;1;6.0;27/07/2016;6800000;microempresarial
Femenino;comercio;fabrica de helados;manrique central no. 1;2;4.0;4/10/2016;6000000;microempresarial
Femenino;comercio;miscelanea;lopez de mesa;3;7.0;18/10/2017;2000000;microempresarial
Femenino;comercio;bares;aures no. 2;2;7.0;1/03/2019;2500000;microempresarial
Masculino;servicio;variedades;popular;2;1.0;31/08/2017;5000000;microempresarial
Femenino;comercio;miscelanea;buenos aires;2;9.0;24/01/2017;7370000;microempresarial
Femenino;comercio;papeleria;cabecera san antonio ;2;80.0;11/12/2018;2000000;microempresarial
Masculino;servicio;restaurante;centro admtivo;3;10.0;8/11/2017;4000000;microempresarial
Femenino;comercio;carniceria;robledo;3;7.0;13/10/2017;4000000;microempresarial
Femenino;industria;fabrica de ;castilla;2;5.0;18/01/2019;8200000;microempresarial
Femenino;comercio;comidas rapidas;san jose de la cima no. ;1;3.0;16/02/2018;2000000;microempresarial
Femenino;servicio;comidas rapidas;palermo;1;4.0;18/08/2016;3500000;microempresarial
Masculino;servicio;tienda;13 de noviembre;1;8.0;15/08/2017;7200000;microempresarial
Femenino;servicio;mantenimiento en ;tejelo;3;5.0;3/04/2017;7377000;microempresarial
Femenino;industria;fabrica de ;doce de octubre no. 1;1;6.0;15/04/2016;2000000;microempresarial
Femenino;COMERCIO;variedades;francisco antonio zea;2;5.0;9/02/2018;781000;microempresarial
Femenino;comercio;tienda;picacho;1;6.0;29/05/2019;8200000;microempresarial
Masculino;comercio;almacen de ropa en ;girardot;3;5.0;23/02/2017;3000000;microempresarial
Masculino;industria;carpinteria;manrique oriental;1;3.0;16/12/2016;6900000;microempresarial
Femenino;servicio;peluqueria;buenos aires;3;9.0;13/06/2017;7377000;microempresarial
Femenino;comercio;variedades;el salvador;2;9.0;27/10/2017;6500000;microempresarial
Masculino;servicio;cafeteria;santa elena central;2;90.0;16/05/2016;6000000;microempresarial
Masculino;servicio;barberia;robledo;2;7.0;8/05/2018;6000000;microempresarial
Masculino;comercio;peluqueria;BELEN;3;16.0;8/06/2018;7800000;microempresarial
Femenino;Industria;fabrica de ;la loma oriental;2;60.0;16/12/2016;6890000;microempresarial
Masculino;servicio;barberia;la loma;1;60.0;24/08/2018;$ 7,800,000.00;microempresarial
Femenino;servicio;cafe e internet;buenos aires;3;9.0;5/12/2016;6890000;microempresarial
Femenino;servicio;fabrica de ;castilla;3;5.0;9/02/2017;7377000;microempresarial
Masculino;comercio;variedades;barrio caicedo;2;9.0;24/10/2017;7300000;microempresarial
Masculino;industria;fabrica de ;manrique oriental;2;3.0;18/06/2018;$ 4,000,000.00;microempresarial
Masculino;SERVICIO;peluqueria;robledo;2;7.0;21/02/2018;7000000;microempresarial
Femenino;servicio;comidas rapidas;florencia;3;5.0;18/10/2018;1500000;microempresarial
Femenino;comercio;comidas rapidas;andalucia;2;2.0;21/06/2018;5000000;microempresarial
Masculino;servicio;mantenimiento en ;enciso;3;8.0;27/09/2018;7800000;microempresarial
Masculino;comercio;comidas rapidas;doce de octubre no. 1;2;6.0;24/10/2018;4000000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;12/06/2019;$ 4,500,000.00;microempresarial
Masculino;industria;fabrica de muebles;cabecera san cristobal;3;60.0;26/10/2018;7800000;microempresarial
Femenino;comercio;comidas rapidas;aranjuez;3;4.0;13/06/2017;4000000;microempresarial
Masculino;industria;fabrica de alimentos;robledo;3;7.0;1/11/2018;7800000;microempresarial
Femenino;comercio;tienda;robledo;2;7.0;13/02/2017;5000000;microempresarial
Femenino;comercio;comidas rapidas;san javier no.1;1;13.0;14/03/2018;7800000;microempresarial
Femenino;servicio;cafe e internet;robledo;1;7.0;24/06/2016;6000000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;1;4.0;13/11/2018;$ 2,500,000.00;microempresarial
Femenino;comercio;legumbreria;manrique central no. 2;2;3.0;14/04/2016;6000000;microempresarial
Masculino;servicio;cafe e internet;buenos aires;3;9.0;6/02/2018;4000000;microempresarial
Femenino;comercio;variedades;robledo;1;7.0;24/08/2018;7800000;microempresarial
Femenino;industria;fabrica de ;la floresta;2;13.0;21/12/2018;5000000;microempresarial
Femenino;comercio;variedades;cabecera san antonio ;2;80.0;17/06/2016;6800000;microempresarial
Masculino;comercio;panaderia;pedregal alto;3;60.0;4/12/2017;7000000;microempresarial
Masculino;comercio;ferreteria;villa del socorro;1;2.0;15/02/2018;7800000;microempresarial
Femenino;comercio;variedades;buenos aires;3;9.0;1/08/2018;1000000;microempresarial
Femenino;industria;fabrica de ;la libertad;2;8.0;31/05/2018;7800000;microempresarial
Femenino;comercio;variedades;el chagualo;3;10.0;25/05/2018;7800000;microempresarial
Femenino;comercio;miscelanea;POPULAR;1;1.0;26/10/2016;4000000;microempresarial
Femenino;industria;fabrica de arepas;san javier no.1;3;13.0;15/06/2016;6500000;microempresarial
Femenino;industria;fabrica de ;aranjuez;2;4.0;22/03/2018;3400000;microempresarial
Masculino;comercio;comidas rapidas;popular;2;1.0;22/11/2017;4000000;microempresarial
Masculino;comercio;tienda;PICACHO;1;6.0;4/05/2018;7000000;microempresarial
Femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;25/01/2019;5000000;microempresarial
Femenino;servicio;tienda;enciso;2;8.0;25/04/2017;5000000;microempresarial
Femenino;industria;fabrica de ;santa cruz;2;2.0;17/07/2018;7800000;microempresarial
Masculino;industria;fabrica de ;trinidad;3;15.0;19/05/2016;3000000;microempresarial
Femenino;comercio;fabrica de arepas;barrio caicedo;2;9.0;20/03/2019;4000000;microempresarial
Femenino;industria;fabrica de ;robledo;2;7.0;17/08/2018;5000000;microempresarial
Femenino;comercio;variedades;el poblado;3;14.0;16/06/2017;7000000;microempresarial
Femenino;comercio;comidas rapidas;santa cruz;2;2.0;3/12/2018;6000000;microempresarial
Masculino;comercio;almacen de ropa en ;santa cruz;2;2.0;5/02/2019;8000000;microempresarial
Femenino;industria;carpinteria;cabecera san antonio ;2;80.0;15/09/2016;6500000;microempresarial
Masculino;servicio;recreativo-educativo;cabecera san cristobal;3;60.0;6/02/2019;7800000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;2;4.0;27/06/2019;8281000;microempresarial
Masculino;industria;fabrica de repuestos ;LA FLORESTA;2;12.0;9/07/2018;7800000;microempresarial
Femenino;comercio;tienda;la francia;2;2.0;8/04/2019;6000000;microempresarial
Masculino;servicio;comidas rapidas;castilla;2;5.0;26/04/2016;6890000;microempresarial
Femenino;servicio;distribuidora de ;san javier no.1;2;13.0;3/04/2017;7000000;microempresarial
Masculino;INDUSTRIA;fabrica de repuestos ;guayabal;3;15.0;29/12/2017;7300000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;2;4.0;21/08/2018;3000000;microempresarial
Femenino;comercio;almacen de ropa en ;20 de julio;1;13.0;8/06/2018;2000000;microempresarial
Masculino;comercio;Variedades;la milagrosa;3;9.0;9/03/2018;5000000;microempresarial
Femenino;servicio;peluqueria;aranjuez;2;4.0;24/09/2018;7800000;microempresarial
Femenino;servicio;recreativo-educativo;castilla;3;5.0;17/12/2018;7500000;microempresarial
Masculino;COMERCIO;distribuidora de ;villa hermosa;3;8.0;4/08/2017;7300000;microempresarial
Femenino;comercio;restaurante;manrique central no. 1;2;4.0;27/09/2018;6000000;microempresarial
Femenino;comercio;almacen de ropa en ;buenos aires;3;9.0;14/06/2017;$ 7,300,000.00;microempresarial
Femenino;comercio;taller de electronica;barrio caicedo;1;9.0;14/11/2018;3000000;microempresarial
Femenino;industria;fabrica de ;castilla;3;5.0;4/01/2019;7800000;microempresarial
Femenino;comercio;variedades;la pradera;2;13.0;10/07/2017;7370000;microempresarial
Masculino;servicio;productos de belleza;robledo;2;4.0;10/07/2018;5000000;microempresarial
Femenino;industria;fabrica de muebles;castilla;3;5.0;22/09/2017;4000000;microempresarial
Masculino;INDUSTRIA;fabrica de ;buenos aires;3;9.0;12/06/2019;2500000;microempresarial
Femenino;industria;fabrica de ;san pablo;2;1.0;21/02/2018;1000000;microempresarial
Masculino;comercio;almacen de ropa en ;robledo;2;7.0;10/07/2017;7377000;microempresarial
Femenino;comercio;tienda;manrique central no. 2;3;3.0;22/05/2019;5000000;microempresarial
Femenino;comercio;comidas rapidas;robledo;2;7.0;27/01/2017;4000000;microempresarial
Femenino;comercio;variedades;jardin botanico;2;3.0;30/01/2019;4000000;microempresarial
Masculino;industria;fabrica de ;manrique oriental;1;3.0;3/10/2018;7800000;microempresarial
Masculino;servicio;lavanderia;robledo;3;7.0;9/07/2018;7800000;microempresarial
Femenino;INDUSTRIA;fabrica de ;buenos aires;1;9.0;12/07/2018;4000000;microempresarial
Femenino;comercio;venta de calzado;belen;2;16.0;19/10/2016;4000000;microempresarial
Masculino;servicio;taller de electronica;san javier no.1;3;13.0;15/02/2019;8122200;microempresarial
Masculino;comercio;tienda;manrique central no. 1;3;4.0;10/05/2018;7800000;microempresarial
Masculino;comercio;papeleria;el salvador;3;9.0;26/04/2019;7000000;microempresarial
Masculino;comercio;carpinteria;cabecera san cristobal;2;60.0;1/08/2018;3000000;microempresarial
Masculino;industria;ebanistaria;belencito;2;13.0;4/11/2016;4000000;microempresarial
Masculino;industria;fabrica de ;cabecera san cristobal;2;60.0;19/12/2018;4000000;microempresarial
Masculino;comercio;tienda;SAN ANTONIO;3;8.0;21/06/2019;4500000;Microempresarial
Femenino;servicio;criadero de animales ;belen;2;16.0;9/03/2017;4000000;microempresarial
Femenino;comercio;variedades;miranda;2;4.0;1/02/2018;2000000;microempresarial
Femenino;industria;fabrica de ;tejelo;3;5.0;24/04/2017;5000000;microempresarial
Masculino;servicio;recreativo-educativo;la esperanza;3;6.0;7/03/2016;6890000;MICROEMPRESARIAL
Masculino;industria;ebanistaria;belencito;2;13.0;18/05/2018;$ 2,000,000.00;microempresarial
Femenino;industria;fabrica de ;las esmeraldas;2;4.0;6/03/2018;3000000;microempresarial
Femenino;servicio;recreativo-educativo;robledo;2;7.0;19/05/2016;2000000;microempresarial
Masculino;comercio;comidas rapidas;barrio caicedo;1;9.0;3/10/2018;7500000;microempresarial
Masculino;comercio;restaurante;belen;2;16.0;23/02/2017;5000000;microempresarial
Masculino;industria;comidas rapidas;moravia;2;4.0;27/06/2018;3500000;microempresarial
Masculino;industria;fabrica de productos ;santander;2;6.0;18/08/2017;7377000;microempresarial
Masculino;industria;panaderia;castilla;2;5.0;16/05/2017;$ 7,370,000.00;microempresarial
Femenino;comercio;variedades;buenos aires;3;9.0;15/02/2017;$ 6,800,000.00;microempresarial
Masculino;Industria;fabrica de ;campo valdes no. 1;2;4.0;7/03/2018;6000000;microempresarial
Femenino;comercio;almacen de ropa en ;aranjuez;2;4.0;13/08/2018;$ 7,812,242.00;microempresarial
Femenino;servicio;mantenimiento en ;doce de octubre no. 1;1;6.0;27/01/2017;6000000;microempresarial
Femenino;comercio;variedades;santander;2;6.0;21/06/2018;6000000;microempresarial
Femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;30/11/2017;7000000;microempresarial
Masculino;comercio;tienda de helados;campo valdes no. 1;2;4.0;11/04/2016;6890000;microempresarial
Masculino;comercio;tienda;belencito;2;13.0;10/03/2016;6890000;microempresarial
Femenino;servicio;peluqueria;campo valdes no. 1;3;4.0;3/04/2018;7800000;microempresarial
Masculino;servicio;organizacion y ;florencia;3;5.0;21/08/2018;6000000;microempresarial
Femenino;industria;fabrica de ;santa cruz;2;2.0;9/07/2018;4500000;microempresarial
Masculino;comercio;variedades;robledo;2;7.0;17/01/2017;7377000;microempresarial
Masculino;industria;fabrica de ;pablo vi;2;2.0;16/05/2017;7000000;microempresarial
Femenino;servicio;comidas rapidas;boyaca;3;5.0;6/03/2018;6000000;microempresarial
Masculino;servicio;variedades;robledo;2;7.0;30/12/2016;4000000;microempresarial
Femenino;comercio;tienda;manrique central no. 2;2;3.0;6/05/2016;3500000;microempresarial
Femenino;industria;fabrica de ;robledo;2;7.0;10/07/2018;3800000;microempresarial
Masculino;comercio;cafeteria;santa cruz;2;2.0;8/08/2018;7800000;microempresarial
Femenino;comercio;variedades;belen;3;16.0;12/07/2017;7370000;microempresarial
Femenino;comercio;variedades;la francia;2;2.0;1/08/2018;6000000;microempresarial
Masculino;comercio;legumbreria;pedregal;3;6.0;15/03/2018;7800000;microempresarial
Masculino;comercio;Variedades;campo valdes no. 1;3;4.0;7/03/2018;7000000;microempresarial
Masculino;comercio;restaurante;boyaca;3;5.0;5/05/2017;6000000;microempresarial
Femenino;comercio;almacen de ropa en ;robledo;1;7.0;17/05/2017;6000000;microempresarial
Femenino;comercio;variedades;prado;3;10.0;18/04/2016;6890000;microempresarial
Femenino;servicio;servicios ;robledo;2;7.0;19/07/2017;7300000;microempresarial
Femenino;comercio;distribuidora de ;cabecera san cristobal;2;60.0;17/08/2017;4000000;microempresarial
Femenino;industria;fabrica de ;picacho;1;6.0;7/09/2016;4000000;microempresarial
Femenino;comercio;fabrica de ;santa cruz;2;2.0;18/07/2018;7812000;microempresarial
Masculino;industria;fabrica de ;doce de octubre no. 1;1;6.0;31/05/2017;$ 5,000,000.00;microempresarial
Femenino;comercio;Variedades;picacho;2;6.0;4/07/2018;5000000;microempresarial
Femenino;servicio;mantenimiento en ;san joaquin;3;11.0;9/08/2018;7800000;microempresarial
Femenino;comercio;variedades;castilla;3;5.0;2/09/2016;6000000;microempresarial
Masculino;servicio;mantenimiento en ;la america;3;12.0;10/05/2016;6890000;microempresarial
Masculino;industria;fabrica de ;robledo;2;7.0;15/11/2017;5000000;microempresarial
Femenino;comercio;comidas rapidas;manrique oriental;2;7.0;30/05/2018;7800000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;29/01/2018;7800000;microempresarial
Femenino;servicio;cafe e internet;san javier no.1;1;13.0;31/10/2018;$ 3,000,000.00;microempresarial
Masculino;comercio;comidas rapidas;enciso;2;8.0;12/06/2019;8000000;Microempresarial
Femenino;comercio;tienda;campo valdes no. 1;3;4.0;25/02/2016;300000;microempresarial
Femenino;comercio;almacen de ropa en ;villa niza;2;2.0;12/04/2018;5000000;microempresarial
Masculino;comercio;almacen de ropa en ;barrio caicedo;1;9.0;14/08/2018;5500000;MICROEMPRESARIAL
Femenino;INDUSTRIA;fabrica de ;la francia;2;2.0;1/11/2016;6890000;microempresarial
Masculino;comercio;distribuidora de ;el pinal;2;8.0;3/04/2019;8281000;microempresarial
Femenino;industria;fabrica de ;buenos aires;3;9.0;11/03/2019;8000000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;2;4.0;24/04/2018;5000000;microempresarial
Masculino;comercio;restaurante;la colina;3;15.0;20/06/2017;4000000;microempresarial
Femenino;industria;fabrica de ;santander;3;6.0;8/02/2017;3500000;microempresarial
Masculino;industria;fabrica de ;campo valdes no. 1;2;4.0;6/12/2017;7300000;microempresarial
Femenino;industria;variedades;aranjuez;3;4.0;11/10/2018;3000000;microempresarial
Femenino;servicio;mantenimiento en ;buenos aires;1;9.0;16/11/2017;7000000;microempresarial
Masculino;comercio;variedades;robledo;2;7.0;26/01/2018;5000000;microempresarial
Masculino;comercio;comidas rapidas;aranjuez;2;4.0;10/05/2018;1500000;microempresarial
Femenino;industria;fabrica de repuestos ;san benito;3;10.0;28/05/2018;$ 5,000,000.00;Microempresarial
Femenino;servicio;peluqueria;aranjuez;3;4.0;14/02/2017;6000000;microempresarial
Femenino;industria;variedades;aranjuez;3;4.0;4/05/2018;7800000;microempresarial
Femenino;comercio;comidas rapidas;robledo;3;7.0;22/02/2018;5000000;microempresarial
Femenino;industria;fabrica de ;aranjuez;3;4.0;10/04/2018;3000000;microempresarial
Masculino;comercio;fabrica de calzado;manila;3;14.0;22/04/2019;1500000;microempresarial
Femenino;comercio;comidas rapidas;robledo;2;7.0;6/12/2017;7300000;microempresarial
Masculino;industria;carpinteria;santa cruz;1;2.0;11/08/2016;4000000;microempresarial
Masculino;comercio;fabrica de alimentos;popular;2;1.0;7/11/2018;7800000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;3;4.0;17/05/2018;5000000;microempresarial
Femenino;industria;fabrica de ;lopez de mesa;3;7.0;20/09/2017;5000000;microempresarial
Femenino;comercio;variedades;pedregal;3;6.0;25/10/2017;7377000;microempresarial
Femenino;industria;fabrica de ;popular;2;1.0;31/08/2016;$ 6,000,000.00;microempresarial
Femenino;industria;fabrica de ;robledo;1;7.0;21/02/2019;7000000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;10/08/2017;3000000;Microempresarial
